year	NIPA-N&S	NIPA-N	NIPA-S	PJ-N&S	Q4-N&S	UNFIL-N&S	UNFIL-N	UNFIL-Q4-N	MKT_DECfs	MKT_Tafs	MKT_DECpw	MKT_Tapw					
1927	0.0084	0.0084	0.0084									
1928	0.0101	0.0101	0.0101			0.0120	0.0114		0.3242	0.3173		
1929	0.0435	0.0435	0.0435	-0.0295		0.0842	0.0706		-0.1974	0.2187		
1930	-0.0454	-0.0611	-0.0300	-0.1433		-0.1402	-0.1350		-0.3145	-0.2982		
1931	-0.0257	-0.0182	-0.0325	-0.1276		0.0035	0.0212		-0.4580	-0.4485		
1932	-0.0789	-0.0926	-0.0671	-0.0527		-0.1266	-0.1348		-0.1147	-0.5551		
1933	-0.0279	-0.0107	-0.0427	0.0680		0.0353	0.0466		0.5475	0.4492		
1934	0.0580	0.0736	0.0429	0.1888		0.1299	0.1156		0.0229	0.1837		
1935	0.0384	0.0495	0.0267	0.1580		0.0238	0.0378		0.4408	0.1611		
1936	0.0821	0.1076	0.0541	0.1106		0.1181	0.1362		0.3120	0.5386		
1937	0.0305	0.0197	0.0424	0.0613		-0.0085	-0.0191		-0.3530	0.0159		
1938	-0.0041	0.0066	-0.0156	0.0618		-0.0298	0.0010		0.2732	-0.2668		
1939	0.0340	0.0382	0.0296	0.1190		0.0649	0.0530		0.0168	0.1167		
1940	0.0310	0.0311	0.0310	0.1001		0.0290	0.0280		-0.0797	-0.0164		
1941	0.0496	0.0519	0.0470	0.0956		0.0659	0.0627		-0.1105	-0.0609		
1942	0.0166	-0.0086	0.0449	0.0691		-0.0106	-0.0372		0.1561	-0.0831		
1943	0.0269	-0.0069	0.0651	0.1009		0.0360	-0.0064		0.2723	0.4834		
1944	0.0242	0.0081	0.0420	0.1346		0.0220	0.0158		0.2039	0.1600		
1945	0.0468	0.0497	0.0434	0.0856		0.0688	0.0733		0.3769	0.3313		
1946	0.0583	0.0790	0.0346	0.0356		0.0697	0.0955		-0.0686	0.2101		
1947	-0.0200	-0.0243	-0.0149	-0.0199		-0.0888	-0.0755		0.0238	-0.1146		
1948	-0.0015	-0.0093	0.0083	0.0213		0.0166	-0.0016		0.0039	0.0604		
1949	0.0016	-0.0024	0.0064	0.0410	-0.0043	0.0042	0.0009	-0.0067	0.1856	0.0160		
1950	0.0212	0.0160	0.0270	0.0638	0.0217	0.0399	0.0259	0.0065	0.2805	0.3240		
1951	0.0178	-0.0023	0.0402	0.0622	0.0256	0.0146	-0.0124	0.0259	0.1805	0.3060		
1952	0.0235	0.0196	0.0277	0.0519	0.0336	0.0292	0.0324	0.0338	0.1087	0.1124		
1953	0.0196	0.0144	0.0251	0.0613	-0.0042	0.0158	0.0113	-0.0308	-0.0139	0.0299		
1954	0.0079	-0.0011	0.0170	0.0649	0.0282	-0.0043	-0.0108	0.0322	0.4875	0.3034		
1955	0.0326	0.0335	0.0317	0.0662	0.0352	0.0598	0.0564	0.0478	0.2283	0.4095		
1956	0.0232	0.0167	0.0293	0.0391	0.0130	0.0131	0.0060	-0.0164	0.0515	0.1589		
1957	0.0091	0.0019	0.0158	0.0456	0.0063	-0.0063	-0.0080	-0.0013	-0.1327	-0.0397		
1958	0.0064	-0.0039	0.0159	0.0447	0.0160	0.0032	-0.0081	0.0223	0.4175	0.0803		
1959	0.0296	0.0276	0.0313	0.0510	0.0255	0.0566	0.0502	0.0140	0.0809	0.2895		
1960	0.0082	-0.0036	0.0184	0.0451	-0.0010	-0.0158	-0.0252	-0.0249	-0.0243	-0.0585	-0.0243	-0.0610
1961	0.0125	0.0035	0.0201	0.0557	0.0238	0.0175	0.0085	0.0322	0.2325	0.2401	0.2325	0.2561
1962	0.0238	0.0151	0.0309	0.0840	0.0211	0.0372	0.0236	0.0066	-0.1292	-0.1045	-0.1292	-0.1099
1963	0.0184	0.0067	0.0277	0.1015	0.0190	0.0121	0.0005	-0.0015	0.1700	0.1382	0.1700	0.1479
1964	0.0397	0.0328	0.0450	0.1249	0.0437	0.0661	0.0533	0.0650	0.1170	0.1570	0.1170	0.1678
1965	0.0403	0.0374	0.0425	0.1049	0.0514	0.0409	0.0410	0.0659	0.0986	0.0917	0.0986	0.0985
1966	0.0401	0.0435	0.0374	0.1024	0.0205	0.0397	0.0481	-0.0124	-0.1338	-0.0584	-0.1338	-0.0609
1967	0.0212	0.0102	0.0295	0.0888	0.0222	-0.0012	-0.0146	0.0121	0.2261	0.1180	0.2261	0.1264
1968	0.0379	0.0321	0.0422	0.0880	0.0425	0.0585	0.0491	0.0505	0.0775	0.0775	0.0775	0.0834
1969	0.0273	0.0176	0.0343	0.0644	0.0244	0.0146	0.0066	0.0029	-0.1709	-0.0640	-0.1709	-0.0669
1970	0.0204	0.0104	0.0275	0.0770	0.0194	0.0122	0.0050	0.0164	-0.0666	-0.2501	-0.0666	-0.2646
1971	0.0154	0.0061	0.0217	0.0873	0.0171	0.0093	0.0026	-0.0095	0.1066	0.1812	0.1066	0.1935
1972	0.0395	0.0294	0.0461	0.0632	0.0515	0.0700	0.0485	0.0798	0.1127	0.1041	0.1127	0.1116
1973	0.0301	0.0188	0.0375	0.0393	0.0092	0.0186	0.0104	-0.0391	-0.2489	-0.1389	-0.2489	-0.1465
1974	-0.0071	-0.0331	0.0101	0.0439	-0.0092	-0.0511	-0.0737	-0.0586	-0.3331	-0.3381	-0.3331	-0.3580
1975	0.0161	-0.0012	0.0274	0.0766	0.0275	0.0455	0.0270	0.0513	0.2925	0.0422	0.2925	0.0459
1976	0.0348	0.0374	0.0331	0.0929	0.0387	0.0581	0.0672	0.0540	0.1982	0.1794	0.1982	0.1916
1977	0.0239	0.0125	0.0309	0.0747	0.0223	0.0108	-0.0058	0.0042	-0.0886	-0.0432	-0.0886	-0.0449
1978	0.0315	0.0252	0.0353	0.0473	0.0288	0.0411	0.0351	0.0248	-0.0038	-0.0118	-0.0038	-0.0115
1979	0.0175	0.0145	0.0193	0.0194	0.0145	0.0005	0.0065	0.0030	0.1103	0.0598	0.1103	0.0646
1980	-0.0022	-0.0132	0.0044	0.0090	-0.0029	-0.0263	-0.0345	-0.0371	0.1837	0.1168	0.1837	0.1251
1981	0.0041	0.0025	0.0051	0.0475	-0.0017	0.0122	0.0151	0.0234	-0.1665	0.0000	-0.1665	0.0011
1982	0.0071	0.0009	0.0106	0.0750	0.0196	0.0108	-0.0004	0.0033	0.0732	-0.1757	0.0732	-0.1856
1983	0.0358	0.0232	0.0426	0.1058	0.0387	0.0727	0.0412	0.0461	0.1144	0.3416	0.1144	0.3639
1984	0.0305	0.0322	0.0296	0.0932	0.0274	0.0239	0.0395	0.0203	-0.0690	-0.1124	-0.0690	-0.1183
1985	0.0360	0.0211	0.0433	0.0914	0.0355	0.0429	0.0123	0.0213	0.2204	0.1398	0.2204	0.1495
1986	0.0240	0.0263	0.0229	0.0850	0.0223	0.0092	0.0306	0.0234	0.0913	0.2498	0.0913	0.2664
1987	0.0288	0.0082	0.0381	0.0815	0.0267	0.0349	-0.0063	-0.0075	-0.0513	0.1292	-0.0513	0.1383
1988	0.0299	0.0170	0.0355	0.0650	0.0339	0.0313	0.0244	0.0389	0.0926	-0.1251	0.0926	-0.1318
1989	0.0207	0.0173	0.0221	0.0312	0.0181	0.0092	0.0176	0.0139	0.1843	0.1667	0.1843	0.1781
1990	0.0131	0.0003	0.0186	0.0313	0.0026	0.0037	-0.0138	-0.0369	-0.1311	-0.0737	-0.1311	-0.0773
1991	-0.0027	-0.0160	0.0029	0.0342	0.0008	-0.0224	-0.0297	-0.0109	0.2720	0.1326	0.2720	0.1419
1992	0.0207	0.0059	0.0267	0.0584	0.0299	0.0513	0.0252	0.0386	0.0559	0.1016	0.0559	0.1090
1993	0.0160	0.0122	0.0175	0.0539	0.0135	0.0100	0.0173	0.0088	0.0737	0.1095	0.0737	0.1174
1994	0.0206	0.0265	0.0183	0.0553	0.0195	0.0265	0.0386	0.0359	-0.0536	-0.0079	-0.0536	-0.0074
1995	0.0164	0.0127	0.0178	0.0536	0.0151	0.0111	0.0013	-0.0052	0.2902	0.1559	0.2902	0.1666
1996	0.0173	0.0170	0.0174	0.0694	0.0172	0.0184	0.0206	0.0313	0.1468	0.2166	0.1468	0.2312
1997	0.0190	0.0171	0.0197	0.0828	0.0250	0.0212	0.0173	0.0155	0.2416	0.2478	0.2416	0.2642
1998	0.0316	0.0252	0.0339	0.0987	0.0309	0.0483	0.0323	0.0338	0.1824	0.1969	0.1824	0.2102
1999	0.0300	0.0385	0.0269	0.0776	0.0338	0.0278	0.0502	0.0480	0.1912	0.1905	0.1912	0.2034
2000	0.0340	0.0207	0.0388	0.0556	0.0302	0.0393	0.0054	0.0043	-0.1702	0.0511	-0.1702	0.0553
2001	0.0118	0.0073	0.0134	0.0371	0.0031	-0.0162	-0.0039	-0.0051	-0.1438	-0.2637	-0.1438	-0.2790
2002	0.0090	0.0089	0.0090	0.0483	0.0122	0.0054	0.0102	0.0141	-0.2270	-0.1987	-0.2270	-0.2099
2003	0.0159	0.0254	0.0127	0.0626	0.0187	0.0248	0.0399	0.0408	0.3025	-0.0064	0.3025	-0.0057
2004	0.0227	0.0233	0.0225	0.0658	0.0236	0.0317	0.0215	0.0124	0.0984	0.2162	0.0984	0.2306
2005	0.0228	0.0238	0.0224	0.0519	0.0218	0.0229	0.0242	0.0319	0.0235	0.0699	0.0235	0.0753
2006	0.0189	0.0230	0.0176	0.0220	0.0184	0.0139	0.0223	0.0223	0.0993	0.0777	0.0993	0.0836
2007	0.0094	0.0071	0.0102	-0.0169	0.0012	-0.0030	-0.0064	-0.0250	0.0101	0.0952	0.0101	0.1022
2008	-0.0063	-0.0202	-0.0016	-0.0202	-0.0141	-0.0266	-0.0437	-0.0487	-0.3810	-0.2261	-0.3810	-0.2391
2009	-0.0199	-0.0265	-0.0176	-0.0035	-0.0139	-0.0365	-0.0301	0.0093	0.2782	-0.2415	0.2782	-0.2554
2010	0.0061	0.0138	0.0035	0.0211	0.0150	0.0413	0.0485	0.0376	0.1708	0.2623	0.1708	0.2796
2011	0.0105	0.0101	0.0107	0.0263	0.0034	0.0161	0.0073	-0.0162	0.0028	0.1761	0.0028	0.1882
2012	0.0043	0.0000	0.0058	0.0283	0.0058	-0.0034	-0.0079	0.0054	0.1603	0.1040	0.1603	0.1115
2013	0.0112	0.0111	0.0113	0.0239	0.0163	0.0198	0.0200	0.0241	0.3498	0.2694	0.3498	0.2872
2014	0.0125	0.0107	0.0131	0.0125	0.0148	0.0140	0.0104	0.0133	0.1157	0.2257	0.1157	0.2408
